customer_id,area,time_of_day,plan_type,tenure_months,latency_ms,packet_loss_percent,churn_flag
1,Yelahanka,Night,Basic,5,119.60857884948668,2.6486987471302754,1
2,Electronic City,Night,Basic,4,162.61627073121835,0.0,0
3,Indiranagar,Afternoon,Basic,5,264.17880905543564,3.3756946241306314,1
4,Yelahanka,Night,Standard,1,195.88563316067686,5.401440915291625,0
5,Koramangala,Night,Standard,4,64.57791011607713,9.523240334873401,0
6,Indiranagar,Night,Basic,3,118.18935600923285,6.5617895010195735,0
7,Indiranagar,Afternoon,Basic,2,135.273352396143,4.4805418098446514,0
8,Yelahanka,Night,Premium,5,165.12274677573768,1.8858002748150962,0
9,HSR Layout,Night,Premium,4,99.37607337248072,7.116569529994744,1
10,Koramangala,Morning,Standard,6,169.22652928237105,4.286456058885023,0
11,Yelahanka,Morning,Premium,4,114.34779507441044,4.395679382828674,0
12,Koramangala,Afternoon,Standard,5,169.1467086298293,6.95217264877399,0
13,Koramangala,Evening,Basic,3,143.78968491249063,3.391246753691863,0
14,Indiranagar,Morning,Basic,5,242.2716619176595,6.242564915858448,1
15,Electronic City,Afternoon,Basic,3,188.94108533888323,0.9984867466670222,0
16,Koramangala,Night,Premium,6,205.69439079572462,2.214751056297679,1
17,Rajajinagar,Night,Standard,5,87.11699570197892,5.178919119107869,1
18,Indiranagar,Afternoon,Standard,4,113.39521703162728,3.850364251620361,0
19,HSR Layout,Night,Basic,1,156.35874922036604,3.3496406749994927,0
20,Electronic City,Night,Standard,1,78.33024844376689,1.0282858301503897,0
21,Rajajinagar,Evening,Premium,6,192.26918260104026,6.40190828622743,1
22,Rajajinagar,Night,Premium,4,146.52383413042122,0.0,1
23,HSR Layout,Morning,Basic,1,194.99644238715945,6.191680756983223,1
24,Electronic City,Night,Standard,6,164.11611248219177,4.127367710193631,0
25,Indiranagar,Afternoon,Basic,3,142.24315188761813,4.1663155086074655,0
26,Whitefield,Evening,Standard,4,133.8660201311483,3.876339644542849,1
27,Electronic City,Night,Standard,3,101.55729273238327,1.838580411516967,0
28,HSR Layout,Afternoon,Basic,4,98.58181831843343,3.9124432986341615,0
29,Rajajinagar,Morning,Premium,3,184.43329905244727,4.914067273449063,1
30,Indiranagar,Night,Basic,3,173.40096122884637,5.030297890757534,0
31,Electronic City,Evening,Premium,1,201.7035161240936,3.750185315844117,0
32,Whitefield,Night,Basic,4,112.71628852184139,3.7170838023617963,0
33,Whitefield,Afternoon,Standard,5,196.1294390118759,3.6986221040174483,1
34,Koramangala,Evening,Premium,1,131.17119842802146,3.3594522643717877,1
35,Koramangala,Night,Basic,3,168.9967165826033,0.0,1
36,Yelahanka,Morning,Standard,3,204.57667068989645,2.6987768072224254,0
37,HSR Layout,Evening,Standard,5,243.55193337874965,1.4030034014107304,1
38,Electronic City,Morning,Basic,5,193.62103284961955,3.594988067891825,1
39,Electronic City,Afternoon,Standard,3,150.14081068396337,1.7065167386594795,1
40,Yelahanka,Night,Standard,5,168.04786532421744,4.862270396835775,0
41,Rajajinagar,Morning,Premium,2,202.45036370621906,6.970694284350171,1
